acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,315 000 000 $,,  16/12/2009,2 648 596,Franchise,Science Fiction,Etats-Unis,,"
                                    James Cameron",,,"
                20th Century Fox","
                            Avatar",https://www.jpbox-office.com/fichfilm.php?id=9975&view=2
"
                            Sam Worthington,
                            Sigourney Weaver",315 000 000 $,James Horner,  16/12/2009,2 648 596,Franchise,Science Fiction,Etats-Unis,,"
                                    James Cameron",,,"
                20th Century Fox","
                            Avatar",https://www.jpbox-office.com/fichfilm.php?id=9975&view=2
"
                            Daniel Radcliffe,
                            Emma Watson,
                            Gary Oldman,
                            Alan Rickman,
                            Emma Thompson",,John Williams,  02/06/2004,2 503 699,Franchise,Fantasy,Etats-Unis,,"
                                    Alfonso Cuaron",,,"
                Warner Bros.","
                            Harry Potter et le prisonnier d'Azkaban",https://www.jpbox-office.com/fichfilm.php?id=1045&view=2
,200 000 000 $,,  13/12/2017,2 510 462,Franchise,Fantasy,Etats-Unis,,"
                                    Rian Johnson",,,"
                Walt Disney Pictures","
                            Star Wars: Les derniers Jedi",https://www.jpbox-office.com/fichfilm.php?id=15113&view=2
"
                            Daniel Radcliffe,
                            Emma Watson,
                            Gary Oldman,
                            Alan Rickman,
                            Emma Thompson",130 000 000 $,John Williams,  02/06/2004,2 503 699,Franchise,Fantasy,Etats-Unis,,"
                                    Alfonso Cuaron",,,"
                Warner Bros.","
                            Harry Potter et le prisonnier d'Azkaban",https://www.jpbox-office.com/fichfilm.php?id=1045&view=2
"
                            Adam Driver,
                            Benicio Del Toro,
                            Joseph Gordon-Levitt",200 000 000 $,John Williams,  13/12/2017,2 510 462,Franchise,Fantasy,Etats-Unis,Kathleen Kennedy,"
                                    Rian Johnson",,,"
                Walt Disney Pictures","
                            Star Wars: Les derniers Jedi",https://www.jpbox-office.com/fichfilm.php?id=15113&view=2
,295 000 000 $,,  25/04/2018,2 565 953,Franchise,Comicbook,Etats-Unis,,"
                                    - Russo (brothers)",,,"
                Walt Disney Pictures","
                            Avengers: Infinity War",https://www.jpbox-office.com/fichfilm.php?id=15188&view=2
"
                            Chris Evans,
                            Chris Hemsworth,
                            Josh Brolin,
                            Robert Downey Jr,
                            Chris Pratt,
                            Angela Basset,
                            Chadwick Boseman,
                            Don Cheadle,
                            Benedict Cumberbatch,
                            Benicio Del Toro,
                            Idris Elba,
                            Tom Holland,
                            Scarlett Johansson,
                            Gwyneth Paltrow,
                            Jeremy Renner,
                            Paul Rudd,
                            Mark Ruffalo,
                            Bradley Cooper,
                            Vin Diesel",295 000 000 $,Alan Silvestri,  25/04/2018,2 565 953,Franchise,Comicbook,Etats-Unis,Kevin Feige,"
                                    - Russo (brothers)",,,"
                Walt Disney Pictures","
                            Avengers: Infinity War",https://www.jpbox-office.com/fichfilm.php?id=15188&view=2
,94 000 000 $,,  17/12/2003,2 852 784,Franchise,Fantasy,Etats-Unis,,"
                                    Peter Jackson",,,"
                Metropolitan","
                            Le Seigneur des anneaux: Le Retour du roi",https://www.jpbox-office.com/fichfilm.php?id=1400&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",,,  14/12/2022,2 739 848,Franchise,Science Fiction,Etats-Unis,,"
                                    James Cameron",,,"
                Walt Disney Pictures","
                            Avatar : la voie de l'eau",https://www.jpbox-office.com/fichfilm.php?id=18826&view=2
"
                            Richard Anconina,
                            José Garcia,
                            Gad Elmaleh",,,  07/02/2001,2 830 489,Franchise,Comédie,France,,"
                                    Thomas Gilou",,,"
                Warner Bros.","
                            La Vérité si je mens! 2",https://www.jpbox-office.com/fichfilm.php?id=2077&view=2
"
                            Sam Worthington,
                            Sigourney Weaver,
                            Kate Winslet",350 000 000 $,,  14/12/2022,2 739 848,Franchise,Science Fiction,Etats-Unis,,"
                                    James Cameron",,,"
                Walt Disney Pictures","
                            Avatar : la voie de l'eau",https://www.jpbox-office.com/fichfilm.php?id=18826&view=2
"
                            Orlando Bloom,
                            Viggo Mortensen,
                            Ian McKellen,
                            Liv Tyler,
                            Elijah Wood,
                            Cate Blanchett",94 000 000 $,Howard Shore,  17/12/2003,2 852 784,Franchise,Fantasy,Etats-Unis,,"
                                    Peter Jackson",,,"
                Metropolitan","
                            Le Seigneur des anneaux: Le Retour du roi",https://www.jpbox-office.com/fichfilm.php?id=1400&view=2
"
                            Richard Anconina,
                            José Garcia,
                            Gad Elmaleh",12 560 000 €,,  07/02/2001,2 830 489,Franchise,Comédie,France,,"
                                    Thomas Gilou",,,"
                Warner Bros.","
                            La Vérité si je mens! 2",https://www.jpbox-office.com/fichfilm.php?id=2077&view=2
,100 000 000 $,,  04/12/2002,2 728 766,Franchise,Fantasy,Etats-Unis,,"
                                    Chris Columbus",,,"
                Warner Bros.","
                            Harry Potter et la chambre des secrets",https://www.jpbox-office.com/fichfilm.php?id=1742&view=2
"
                            Daniel Radcliffe,
                            Emma Watson,
                            Kenneth Branagh,
                            Alan Rickman",100 000 000 $,John Williams,  04/12/2002,2 728 766,Franchise,Fantasy,Etats-Unis,,"
                                    Chris Columbus",,,"
                Warner Bros.","
                            Harry Potter et la chambre des secrets",https://www.jpbox-office.com/fichfilm.php?id=1742&view=2
,31 680 587 €,,  26/02/2014,2 151 921,,Comédie,France,,"
                                    Dany Boon",,,"
                Pathé","
                            Supercondriaque",https://www.jpbox-office.com/fichfilm.php?id=13769&view=2
,150 000 000 $,,  20/11/2019,2 137 267,Franchise,Animation,Etats-Unis,,,,,"
                Walt Disney Pictures","
                            La Reine des neiges 2",https://www.jpbox-office.com/fichfilm.php?id=17530&view=2
"
                            Dany Boon,
                            Kad Merad,
                            Alice Pol,
                            Valérie Bonneton,
                            Jonathan Cohen,
                            Jérôme Commandeur",31 680 587 €,,  26/02/2014,2 151 921,,Comédie,France,,"
                                    Dany Boon",,,"
                Pathé","
                            Supercondriaque",https://www.jpbox-office.com/fichfilm.php?id=13769&view=2
